Permissions;guava;1
commons-pool;jmock;1
concurrent;commons-codec;1
stringtemplate;lambdaj;1
commons-httpclient;async-http-client;1
geronimo;AppleJavaExtensions;1
activemq-ra;gson;1
stringtemplate;jung;1
riak-client;testng;1
fop;mysql-connector-java;1
glassfish;poi;1
backport-util-concurrent;commons-lang;1
jline;jackson;1
tomcat;flatpack;1
shared-ldap;apacheds;1
jboss;commons-fileupload;1
jacorb;colt;1
richfaces;jackrabbit;1
cglib;junit;1
junit;cglib;1
scannotation;bval;1
hamcrest;commons-collections;1
commons-collections;hamcrest;1
commons-logging;commons-beanutils;1
ognl;fest;1
jsch;amqp-client;1
commons-pool;commons-collections;1
amqp-client;netty;1
glassfish;jmeter;1
commons-configuration;stringtemplate;1
concurrent;jung;1
commons-dbcp;c3p0;1
xmlParserAPIs;castor;1
plexus;slf4j;1
xerces;commons-io;1
xalan;hsqldb;1
commons-cli;apache-felix;1
swing-layout;slf4j;1
dwr;freemarker;1
classworlds;aspectjweaver;1
lucene;commons-codec;1
velocity;slf4j;1
applejavaextensions;junit;1
junit;applejavaextensions;1
swingx;h2;1
httpunit;jwebunit;1
commons-beanutils;xdocreport;1
xmlrpc;aether-connector;1
jbehave;commons-io;1
junit;jackson;1
jboss;gherkin;1
commons-net;mysql-connector-java;1
mysql-connector-java;commons-net;1
fop;derby;1
ant;xstream;1
guava-testlib;aws-java-sdk;1
standard;jsoup;1
kahadb;commons-logging;1
commons-logging;bridj;1
commons-vfs;commons-io;1
bsh;httpcore;1
xmlrpc;commons-compress;1
mysql-connector-java;bonecp;1
swing-layout;jgrapht;1
plexus;junit;1
tomcat;commons-email;1
jide-oss;scala;1
maven;cometd;1
httpasyncclient;smack;1
jwnl;testng;1
netty;commons-math;1
quartz;yuicompressor;1
commons-email;icefaces;1
poi;seam;1
junit;jogl.all;1
org.eclipse.jface;freemarker;1
gson;guice;1
groovy;apache-camel;1
struts2;fest;1
commons-codec;commons-compress;1
jetty-mortbay;lambdaj;1
jython;jackson;1
xmlParserAPIs;jline;1
httpcore;commons-io;1
ecore;icu4j;1
commons-lang;resteasy;1
signpost;org.json;1
commons-logging;pax;1
mchange-commons-java;h2;1
async-http-client;h2;1
commons-httpclient;groovy;1
gson;args4j;1
js;cxf;1
commons-httpclient;gdata;1
spring;poi;1
httpclient;commons-httpclient;1
stringtemplate;jsoup;1
stripes;gwt-google;1
easymock;junit-addons;1
commons-beanutils;cassandra;1
geronimo;mockito;1
xerces;derby;1
ant;logback;1
http-builder;commons-lang;1
hibernate;logback;1
commons-lang;arquillian;1
jboss;activemq-ra;1
log4j;ebean;1
commons-collections;lambdaj;1
slf4j;org.restlet;1
org.restlet;slf4j;1
bcel;maven;1
groovy;smack;1
filters;junit;1
ant;derby;1
groovy;commons-cli;1
xmlbeans;xmltooling;1
svnkit;guava;1
struts;asm;1
jline;commons-httpclient;1
testng;logkit;1
htmlunit;commons-codec;1
jacorb;lwjgl;1
xmlbeans;derby;1
jxl;commons-logging;1
commons-dbcp;commons-compress;1
serializer;commons-io;1
svnkit;commons-io;1
xwork-core;jsoup;1
h2;xmlParserAPIs;1
backport-util-concurrent;resteasy;1
hadoop;spymemcached;1
xmlParserAPIs;jcommander;1
swing-layout;xmlParserAPIs;1
xstream;jfreechart;1
junit;ant;1
commons;initiator;1
fastutil;httpcore;1
asm;commons-cli;1
struts;openejb;1
testng;tomcat;1
struts2;commons-compress;1
concurrent;h2;1
commons-email;high-scale-lib;1
junit;h2;1
testng;arquillian;1
nailgun;tiger-types;1
commons-httpclient;jackrabbit;1
jdom;bsh;1
piccolo2d;httpcore;1
jcommon;quartz;1
commons-pool;ehcache;1
lucene;cassandra;1
minecraft-server;reflectasm;1
commons-fileupload;hibernate;1
jzlib;junit;1
oro;js;1
httpasyncclient;gson;1
org.json;javassist;1
derby;hsqldb;1
axis;xerces;1
commons-codec;bouncycastle;1
bouncycastle;commons-codec;1
lombok;junit;1
junit;lombok;1
jamon;gwt-google;1
org.restlet;org.wikimodel.wem;1
testng;joda-time;1
mockobjects;htmlunit;1
httpcore;org.json;1
junit;concurrent;1
org.json;httpcore;1
jogl.all;slick;1
argo;xmlParserAPIs;1
pluto;apacheds;1
fitnesse;log4j;1
jcifs;jython;1
commons-codec;disruptor;1
commons-httpclient;org.json;1
activemq-ra;hsqldb;1
standard;jackson;1
jruby;snakeyaml;1
bcel;geronimo;1
opencsv;arquillian;1
jmockit;hazelcast;1
poi;commons-io;1
pax;bndlib;1
jetty-mortbay;jclouds;1
log4j;trident;1
powermock;derby;1
javolution;jbullet;1
hsqldb;plexus;1
log4j;play;1
amqp-client;disruptor;1
commons-logging;commons-configuration;1
phys2d;lwjgl;1
groovy;maven-webdav;1
jboss;quartz;1
commons-codec;elasticsearch;1
sigar;javassist;1
xmlParserAPIs;derby;1
commons-cli;aduna-commons-iteration;1
cucumber;scala;1
jettison;ehcache;1
jetty-mortbay;junit-addons;1
junit;requestfactory;1
filters;commons-logging;1
args4j;lambdaj;1
commons-lang;xerces;1
jcifs;jsch;1
jaxme;greenmail;1
lucene;hibernate;1
